Country Name,Country Code,Year,BX.KLT.DINV.WD.GD.ZS,FP.CPI.TOTL,NE.CON.TOTL.KD.ZG,NE.EXP.GNFS.KD.ZG,NE.GDI.TOTL.KD.ZG,NE.IMP.GNFS.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GNS.ICTR.ZS,SL.UEM.TOTL.ZS,Cluster
Brazil,BRA,2008,2.990609469132859,90.7662937251916,5.402155060029728,0.4092509821860091,14.22298678506995,17.02571025322257,1695855083552.0544,5.094195446587364,19.226846663099963,8.268,1
Brazil,BRA,2009,1.888482240843918,95.202981748031,4.094037302387221,-9.247066469476096,-14.497490288228462,-7.601967440052576,1666996438681.463,-0.1258120021611688,16.38036502504784,9.419,1
Brazil,BRA,2010,3.7300128833174697,100.0,5.673445266650461,11.721721514465983,28.794554935236448,33.63902464944067,2208837745214.2334,7.5282258181536434,17.802399356614114,8.424,0
Brazil,BRA,2011,3.9151801139648703,106.636449622131,4.191082359872084,4.811946378665155,5.728983457787493,9.39326345661722,2616156223977.466,3.974423079447021,18.601266431145365,7.578,1
Brazil,BRA,2012,3.754962856100224,112.398549260784,3.210354596466175,0.707641643523587,-2.54490940046891,1.1308517345536018,2465227803011.568,1.9211759857653727,17.678108528340992,7.251,1
Brazil,BRA,2013,3.04150901601519,119.372104441451,3.016512802339051,1.8302950751837697,5.877589739059957,6.6696793079782,2472819535742.7266,3.004822669444323,18.151690830816367,7.071,1
Brazil,BRA,2014,3.571352669574772,126.927212865611,1.913466675788115,-1.569680443393537,-5.407957086569979,-2.2718955930375984,2456043727198.8545,0.5039557402422474,16.134404993561613,6.755,1
Brazil,BRA,2015,3.5921493177337087,138.388614560102,-2.8013111125478503,6.819563947611854,-19.15884270008482,-14.190636858493091,1802212206904.6768,-3.545763392694255,14.529347180165718,8.538,1
Brazil,BRA,2016,4.137378039120876,150.482594206408,-2.8811570039719925,0.8631255564458513,-13.945116884299509,-10.34293280384894,1795693482652.5151,-3.275916907821923,13.421753006846073,11.58,1
Brazil,BRA,2017,3.3382598174410782,155.668786230018,1.3401608525484932,4.908793376910992,2.586921551512347,6.71694069690902,2063514977334.3208,1.3228690540439914,13.57776968991443,12.792,1
Brazil,BRA,2018,4.0785882144912415,161.373814183906,1.98984146680408,4.053083682319297,3.455897996355532,7.742778940762804,1916933898038.3567,1.7836667616339952,12.70741995334427,12.33,1
Brazil,BRA,2019,3.692673212906128,167.397860280061,1.8699061591538992,-2.561421037234709,1.3589614053779826,1.332566090885905,1873288205186.4487,1.2207778236084152,12.250795832271104,11.936,1
Brazil,BRA,2020,2.592637953307169,172.774291252888,-4.358738176062474,-2.29090583193856,-4.138568024496308,-9.476639026042465,1476107231194.106,-3.276758796473601,14.793329184373254,13.697,1
Brazil,BRA,2021,2.779790849165676,187.117425058296,3.2513845235764336,4.382256601554175,21.800564129189738,13.752053246918152,1670647399034.6658,4.762604379086085,17.156479763583782,13.159,1
Brazil,BRA,2022,3.822196153329696,204.482120615775,3.659588588198901,5.742839875930244,4.740533989296679,0.9514937603778008,1951923942083.32,3.0166943539301485,15.82679788042546,9.231,1
Brazil,BRA,2023,2.9547934518078174,213.87513528772,2.794975967155054,1.0231388092328757,-7.040631355051147,-261.884174554865,2173665655937.2737,2.9084804866777745,15.58974482133803,7.95,1
China,CHN,2003,3.4874188992923285,81.8682148167155,5.90954909614041,5.6191184106716845,23.192986143848813,4.761110889356829,1660280543846.7896,10.0380304810393,42.41350434343867,4.58,0
China,CHN,2004,3.4836415346297613,84.9993772047539,7.345269453781228,5.6191184106716845,18.813364943622982,4.761110889356829,1955346768721.3936,10.11362137762633,45.67236733507426,4.49,2
China,CHN,2005,4.5542634822362125,86.5093181065058,11.246620012983868,5.6191184106716845,10.491494595312105,4.761110889356829,2285961149879.8496,11.39459180989266,45.95478431202102,4.52,2
China,CHN,2006,4.508600502911001,87.9362296125358,9.563258105408394,5.6191184106716845,15.147715102147586,4.761110889356829,2752118657184.015,12.72095566540318,48.26050542437677,4.43,2
China,CHN,2007,4.400983342192883,92.1719134940607,12.207763643064553,5.6191184106716845,17.274308276173684,4.761110889356829,3550327802998.397,14.230860933195544,50.27522621544718,4.35,2
China,CHN,2008,3.733610710561507,97.6333310615016,7.736470109120958,5.6191184106716845,13.738309603368776,4.761110889356829,4594336785737.672,9.650678919393613,51.78758738405417,4.59,2
China,CHN,2009,2.5688943073334745,96.9223990713834,10.029627540446157,5.6191184106716845,20.65579384587413,4.761110889356829,5101691124285.214,9.398725632596737,50.37304208254724,4.72,2
China,CHN,2010,4.003544568661175,100.0,9.302486439606056,5.6191184106716845,15.74624766794632,4.761110889356829,6087191746679.489,10.635871064491312,51.32671357663089,4.53,2
China,CHN,2011,3.70880651655626,105.553898922575,11.708005995426008,5.6191184106716845,8.763015487629346,4.761110889356829,7551545703440.755,9.550832178775678,49.23332825012587,4.55,2
China,CHN,2012,2.827105335513794,108.318908982374,7.971912865477648,5.6191184106716845,7.452764829968771,4.761110889356829,8532185381680.593,7.863736448621111,48.66536340625867,4.58,2
China,CHN,2013,3.0398548626027115,111.158001765192,7.121861714302852,5.6191184106716845,9.310780111673523,4.761110889356829,9570471111831.676,7.76615009773009,47.37839154315455,4.6,2
China,CHN,2014,2.559247610413914,113.294060199837,7.691234785007168,5.6191184106716845,7.430614059568256,4.761110889356829,10475624944355.225,7.425763656324122,47.615818413189565,4.63,2
China,CHN,2015,2.192177730860086,114.922122819495,8.9109868304093,5.6191184106716845,3.5414701151231327,4.761110889356829,11061572618578.691,7.041328878736564,45.41758943137378,4.65,2
China,CHN,2016,1.5556369988308534,117.220567369674,8.146734951170103,5.6191184106716845,7.202675745898191,4.761110889356829,11233313730348.72,6.848762204957609,44.38066143703105,4.56,2
China,CHN,2017,1.3491236963321258,119.088050428682,6.914443789600199,5.6191184106716845,6.289227578892763,4.761110889356829,12310491333980.889,6.947200793316853,44.90504750342864,4.47,2
China,CHN,2018,1.6938942844651708,121.558877866113,7.696376679939647,5.6191184106716845,6.729353838631553,4.761110889356829,13894907857880.576,6.7497738324959045,44.48574798596891,4.31,2
China,CHN,2019,1.3107159324794762,125.083154382075,6.155441123396258,5.6191184106716845,3.967278474793503,4.761110889356829,14279968506271.729,5.950500753674135,43.77302795899064,4.56,2
